"part_id","price","description","length","height","width","type","material","unit"
1,"224.4","100x100mm dansk gran C18",510,100,100,"stolpe","gran","styk"
2,"184.8","100x100mm dansk gran C18",420,100,100,"stolpe","gran","styk"
3,"158.4","100x100mm dansk gran C18",360,100,100,"stolpe","gran","styk"
4,"97.2","45x95mm høvlet spærtræ trykimprægneret, 70%PEFC",540,95,45,"spær","gran","styk"
7,"86.4","45x95mm høvlet spærtræ trykimprægneret, 70%PEFC",480,95,45,"spær","gran","styk"
8,"176.4","45x195mm høvlet spærtræ trykimprægneret, 70% PEFC",420,195,45,"spær","gran","styk"
9,"151.2","45x195mm høvlet spærtræ trykimprægneret, 70% PEFC",360,195,45,"spær","gran","styk"
10,"126","45x195mm høvlet spærtræ trykimprægneret, 70% PEFC",300,195,45,"spær","gran","styk"
11,"74.4","45x95mm reglar C14 70% PEFC",480,45,95,"reglar","gran","styk"
12,"65.1","45x95mm reglar C14 70% PEFC",420,45,95,"reglar","gran","styk"
13,"55.8","45x95mm reglar C14 70% PEFC",360,45,95,"reglar","gran","styk"
14,"201.6","45x195mm høvlet spærtræ trykimprægneret, 70% PEFC",480,195,45,"spær","gran","styk"
15,"226.8","45x195mm høvlet spærtræ trykimprægneret, 70% PEFC",540,195,45,"spær","gran","styk"
16,"79.05","38x73mm lægte trykimprægneret,70% PEFC",510,38,73,"lægte","gran","styk"
17,"65.1","38x73mm lægte trykimprægneret,70% PEFC",420,38,73,"lægte","gran","styk"
18,"192","25x200 mm ru fyr, trygimprægneret i VTA-sortering",480,200,25,"brædder","fyr","styk"
19,"168","25x200 mm ru fyr, trygimprægneret i VTA-sortering",420,200,25,"brædder","fyr","styk"
20,"110.4","25x125 mm ru fyr, trygimprægneret i VTA-sortering",480,125,25,"brædder","fyr","styk"
21,"96.6","25x125 mm ru fyr, trygimprægneret i VTA-sortering",420,125,25,"brædder","fyr","styk"
22,"82.8","25x125 mm ru fyr, trygimprægneret i VTA-sortering",360,125,25,"brædder","fyr","styk"
23,"57.75","19x100 mm ru fyr, trygimprægneret i VTA-sortering",420,100,19,"brædder","fyr","styk"
24,"49.5","19x100 mm ru fyr, trygimprægneret i VTA-sortering",360,100,19,"brædder","fyr","styk"
25,"41.25","19x100 mm ru fyr, trygimprægneret i VTA-sortering",300,100,19,"brædder","fyr","styk"
26,"260","600x109 mm Plastmo Ecolite Trapezplade, blå ",600,1,109,"tagplader","plast","styk"
27,"210","480x109 mm Plastmo Ecolite Trapezplade, blå ",480,1,109,"tagplader","plast","styk"
28,"180","420x109 mm Plastmo Ecolite Trapezplade, blå ",420,1,109,"tagplader","plast","styk"
29,"160","360x109 mm Plastmo Ecolite Trapezplade, blå ",360,1,109,"tagplader","plast","styk"
30,"130","300x109 mm Plastmo Ecolite Trapezplade, blå ",300,1,109,"tagplader","plast","styk"
31,"105","240x109 mm Plastmo Ecolite Trapezplade, blå ",240,1,109,"tagplader","plast","styk"
32,"28.87","19x100 mm ru fyr, trygimprægneret i VTA-sortering",210,100,19,"brædder","fyr","styk"
33,"74.25","19x100 mm ru fyr, trygimprægneret i VTA-sortering",540,100,19,"brædder","fyr","styk"
34,"147.95","1x20 mm hulbånd HB 20-1",1000,1,20,"hulbånd","stål","rulle"
35,"350","Plasmo bundskruer til trapez, 200 styks",38,17,17,"bundskruer","stål","pakke"
36,"85","Plasmo bundskruer til trapez,  50 styks",38,17,17,"bundskruer","stål","pakke"
37,"49.95","190 mm universalbeslag, højre, varmeforzinket",190,97,51,"universalbeslag","stål","styk"
38,"49.95","190 mm universalbeslag, venstre, varmeforzinket",190,97,51,"universalbeslag","stål","styk"
39,"179","4,5x60 mm universalskruer, 200 styks",60,10,10,"skruer","stål","pakke"
40,"169","4,5x50 mm beslagskruer, 200 styks.",50,10,10,"skruer","stål","pakke"
41,"409","10x120 mm bræddebolt, varmeforzinket, 25 styks",120,25,25,"bræddebolt","stål","pakke"
42,"439","40x40x11 mm firkantskiver, varmeforzinket",11,40,40,"firkantskiver","stål","styk"
43,"239","4,5x70 mm universalskruer, 200 styks",70,10,10,"skruer","stål","pakke"
44,"169","4,5x50 mm universalskruer, 200 styks",50,10,10,"skruer","stål","pakke"
45,"269","50x75 mm stalddørsgreb til hængelås, galvaniseret.",170,75,30,"stalddørsgreb","stål","styk"
46,"2","390 mm t-hængsel til stalddør, varmeforzinket",390,55,15,"hængsler","stål","styk"
47,"7.95","35x35 mm vinkelbeslag med rib, varmeforzinket",35,35,15,"vinkelbeslag","stål","styk"
